Employment Factors				Description	Sources
GDP by State				GDP is the market value of all the goods and services produced in a country in a particular time period.	https://worldpopulationreview.com/state-rankings/gdp-by-state
Unemployment by State					https://www.ncsl.org/research/labor-and-employment/state-unemployment-update.aspx
Expenditure Side Real GDP					https://www.rug.nl/ggdc/productivity/pwt/
Output Side Real GDP					https://www.rug.nl/ggdc/productivity/pwt/
Expenditure Side Real GDP					https://www.rug.nl/ggdc/productivity/pwt/
Growth Accounting					https://www.rug.nl/ggdc/productivity/pwt/
Development Accounting					https://www.rug.nl/ggdc/productivity/pwt/
Real GDP					https://www.rug.nl/ggdc/productivity/pwt/
Total					
					
Political Risk Factors					
Electoral Cycle/Calendar				Calendar highlighting the timings of significant political events and specifically highlighting the current electoral cycle and dates for change in government.	https://www.ndi.org/elections-calendar
Sovreignty Risk				Sovereign risk', or country risk, is the risk that a government could default on its debt (sovereign debt) or other obligations. It is also, the risk generally associated with investing in a particular country, or providing funds to its government.	https://www.cfr.org/cfr-sovereign-risk-tracker
Corruption Perception Index				he index is published annually by the non-governmental organisation Transparency International since 1995. The 2021 CPI, published in January 2022, currently ranks 180 countries "on a scale from 100 (very clean) to 0 (highly corrupt)" based on the situation between 1 May 2020 and 30 April 2021.	https://www.transparency.org/en/cpi/2021
Other risk Index 				The CRI quantifies the risk of a shock, such as an economic crisis or a sudden change in the political environment that would affect those conducting business within a country, territory, or special administrative region	https://www.fitchsolutions.com/sites/default/files/2021-04/FS_RI_Methodology_Country_Risk.pdf
Ease of Doing Business Index				The ease of doing business index was an index created jointly by Simeon Djankov, Michael Klein, and Caralee McLiesh, three leading economists at the World Bank Group. The academic research for the report was done jointly with professors Edward Glaeser, Oliver Hart, and Andrei Shleifer.	https://archive.doingbusiness.org/en/rankings
Security & Political Stability				The Political Stability Index and Absence of Violence/Terrorism measures perceptions of the likelihood that the government will be destabilized or overthrown by unconstitutional or violent means, including politically-motivated violence and terrorism.	https://www.theglobaleconomy.com/rankings/wb_political_stability/
Total					
					
ESG Rating					
Total					https://www.robeco.com/uk/key-strengths/sustainable-investing/country-ranking/#:~:text=The%20country%20ESG%20score%20is,score%20and%201%20the%20lowest.
					
Logistics					
Transport Network					https://lpi.worldbank.org/international/global?sort=asc&order=Infrastructure
Quality of Transport Network					https://www.theglobaleconomy.com/rankings/roads_quality/
Railroad Infrastructure Quality					theglobaleconomy.com/rankings/railroad_quality/
Port Infrastructure Quality					https://www.theglobaleconomy.com/rankings/seaports_quality/
Air Transport Infrastructure Quality					https://www.theglobaleconomy.com/rankings/air_transport_infrastructure/
Utilities Network					https://www.statista.com/statistics/264753/ranking-of-countries-according-to-the-general-quality-of-infrastructure/
Cost of Utilities & Energy 					https://www.numbeo.com/cost-of-living/country_price_rankings?itemId=30
Cost of Oil					https://oilprice.com/
Local traffic/collision data					https://data.worldbank.org/indicator/SH.STA.TRAF.P5
Logistics Performance Index					https://lpi.worldbank.org/
LPI - Customs					https://lpi.worldbank.org/
LPI - Infrastructure					https://lpi.worldbank.org/
LPI - International Shipments					https://lpi.worldbank.org/
LPI - Logistics Quality 					https://lpi.worldbank.org/
LPI - Tracking & Tracing					https://lpi.worldbank.org/
LPI - Timeliness					https://lpi.worldbank.org/
Total					
					
Weather Factors					
Temperature Volatility				Annual variation in temperature	
Average Temperature				Average annual temperature	https://tradingeconomics.com/country-list/temperature
Hottest Countries				Ranking of hottest countries	https://worldpopulationreview.com/country-rankings/hottest-countries-in-the-world
Climate Change Vulnerability Index				A country's ND-GAIN index score is composed of a Vulnerability score and a Readiness score. Vulnerability measures a country's exposure, sensitivity and ability to adapt to the negative impact of climate change. ND-GAIN measures the overall vulnerability by considering vulnerability in six life-supporting sectors – food, water, health, ecosystem service, human habitat and infrastructure	https://gain-new.crc.nd.edu/ranking/vulnerability
Food Security Risk Index				The Global Food Security Index (GFSI) is the pre-eminent source of intelligence on the drivers of global food security. Developed by Economist Impact and supported by Corteva Agriscience, it evaluates food security in 113 countries across four key pillars: affordability, availability, quality and safety, and sustainability and adaptation. The index is based on a dynamic benchmarking model constructed from 68 qualitative and quantitative drivers of food security.	https://impact.economist.com/sustainability/project/food-security-index/
Climate Risk Index				The Global Climate Risk Index 2021 analyses and ranks to what extent countries and regions have been affected by impacts of climate related extreme weather events (storms, floods, heatwaves etc.). The most recent data available for 2019 and from 2000 to 2019 was taken into account.	https://reliefweb.int/report/world/global-climate-risk-index-2021
Extreme Weather Events per annum				Number of extreme weather events per annum	https://www.germanwatch.org/sites/default/files/Global%20Climate%20Risk%20Index%202021_2.pdf
Current Season				Many countries have seasonal vulnerabilities to certain extreme weather events or are at a higher risk during certain months of the year	
Proximity to previous extreme weather event				Time (days) since last extreme weather event impacted the country	
Total					
